,/wrench.fx,/wrench.fy,/wrench.fz,/wrench.tx,/wrench.ty,/wrench.tz,/manipulator_pose.x,/manipulator_pose.y,/manipulator_pose.z,/manipulator_pose.rx,/manipulator_pose.ry,/manipulator_pose.rz,/manipulator_pose.rw
1.2000000000000002,-1.790835173492329,-0.37348098898504967,-1.6995835181466283,0.035205026648494606,0.018729296210711358,-0.0020878800720103684,0.6309489229518279,0.17115777855079153,0.42578095929723325,0.5212315851804944,0.06925372434904875,0.8431154580395355,-0.1125960953532568
1.3,-1.3430774924137314,-0.4843408114946718,-1.3295772042720326,0.12848193920269133,0.034927615165958305,-0.04894415896984184,0.6316933061965248,0.1713316790976766,0.42627710117119455,0.5211481916189876,0.06920304779064282,0.8431756323001738,-0.11256266540886221
1.4000000000000001,-1.812155110172362,-0.6271993029240254,-1.8129094832951413,0.2087798028674923,0.062159933781297645,-0.09241491449210366,0.6328815001289988,0.17169279270652602,0.42704883532708865,0.5210519528238278,0.0692059735675853,0.8432257540621187,-0.11263091657004728
1.5,-1.5775789313883832,-0.7681086660897701,-1.432211399375326,0.19011840796783142,0.038368704199176276,-0.08707275053279045,0.6347817823970432,0.1722349682941124,0.42800710131430936,0.5210775789488533,0.06925765650001511,0.8432016147964563,-0.11266130896441962
1.6,-1.3647994566204502,-0.8371789448847707,-1.3541030079207719,0.18474771295197362,0.054777007102080416,-0.08334395424821103,0.6354601333076769,0.172389154708888,0.42836715234136574,0.5210804310561598,0.06926779718033692,0.84319934142131,-0.11265889787664224
1.7000000000000002,-1.7158176297268242,-0.2591679701059336,-1.7294701163324504,0.1786668838700777,0.070413515331776,-0.07060769335101912,0.6367734290497012,0.1727623225486472,0.4291292747994114,0.5210417493510626,0.0692361511338133,0.8432230855772893,-0.11267954010767023
1.8,-1.6505689441934839,-0.6365260468344875,-1.8258429814288044,0.17435921885420683,0.05294095290170249,-0.0752711597347649,0.6386490106325949,0.17322703741953663,0.4299050786878552,0.5211469845686352,0.06923517768431331,0.8431681949347696,-0.11260419928440675
1.9000000000000001,-1.5686740872408889,-0.28457940773354123,-1.7500982910994647,0.1777696953671751,0.052823704098740154,-0.06944395344417316,0.6394008691978535,0.17336997201619,0.43024448030570134,0.5211908454008457,0.06919350522429409,0.8431488288283217,-0.11257181685731657
2.0,-1.6161114888519685,-0.0786486482153509,-1.432582356987166,0.17924522746005564,0.05414750910411688,-0.05663923450092388,0.640647987980788,0.17364648854548473,0.43115780368490453,0.521063421415521,0.0691398958064948,0.8432303065349178,-0.11258434976339793
2.1,-1.511516129433437,-0.3435731471512593,-1.896108710892072,0.17268947130554999,0.05948982807896039,-0.06992799160253914,0.642068917229933,0.17411543813935673,0.4317298957847941,0.5211613573751945,0.06925705849792545,0.843157472416473,-0.11260451205579644
2.2,-1.477269781823675,-0.6336662233096433,-1.4266432018887567,0.16606459939460694,0.05570550378136518,-0.0754993569984497,0.6438414015025604,0.17461935513268462,0.4327636391053224,0.5210713648478461,0.06923125098037215,0.8432069942069081,-0.11266601769764881
2.3000000000000003,-1.408003544053878,-0.501108376421184,-1.582928745040479,0.17049118496920804,0.05177909860474511,-0.06793549292544529,0.6444807218939796,0.17478043645658872,0.43319556717806784,0.521016964137918,0.06920500613836844,0.8432429951801588,-0.11266428575857793
2.4000000000000004,-1.5784402148046053,-0.47074200840543073,-1.73965914360059,0.1680841974568895,0.05361352320941121,-0.06925490508395915,0.6457086147885183,0.17514828724935722,0.43370078606240053,0.5210926306901257,0.0692200730045569,0.843194807827288,-0.11266573475014932
2.5,-1.406381080085613,-0.26436519620384424,-1.5452992041472287,0.16859825185502283,0.0503283471667475,-0.07006925102521996,0.6476523169279534,0.17568352542535276,0.4347698983737128,0.5210566493072373,0.06918362448152746,0.8432195168025591,-0.1126696090326603
