,/ground_truth.x,/ground_truth.y,/ground_truth.z,/joint_states.elbow_joint,/joint_states.shoulder_lift_joint,/joint_states.shoulder_pan_joint,/joint_states.wrist_1_joint,/joint_states.wrist_2_joint,/joint_states.wrist_3_joint,/wrench.fx,/wrench.fy,/wrench.fz,/wrench.tx,/wrench.ty,/wrench.tz,/manipulator_pose.x,/manipulator_pose.y,/manipulator_pose.z,/manipulator_pose.rx,/manipulator_pose.ry,/manipulator_pose.rz,/manipulator_pose.rw
1.0,0.006952435100688146,0.3405713809063558,0.9401834937626761,-1.3988313674926758,-1.890906952187665,4.122049645015172,-0.3001307330281166,1.4133782386779785,-0.7325080076800745,-8.280529967842172,-9.45002581460058,-6.878795908636508,-0.1977917382423189,0.5119260729697936,0.04218577442656496,0.527226843313659,0.5351550553263786,0.4357017080238759,0.7874923291620585,-0.3065094376970675,0.205052654943614,-0.49382305010410266
1.1,0.007022336551025248,0.33859322143662207,0.9408993916429848,-1.400015625915709,-1.8896785404807683,4.122169048087353,-0.3000944417766114,1.4132524270767948,-0.7324717097952718,-8.36101088189558,-9.532176117939509,-6.609308031268906,-0.19910994763728176,0.5230219772198856,0.05085255934500999,0.5269009069760663,0.5348225424351895,0.4359811702885532,0.7874428221783867,-0.3064804675834406,0.20507658807448342,-0.4939100300796714
1.2000000000000002,0.007092238001362349,0.3366150619668883,0.9416152895232935,-1.4012314675045505,-1.8885602873790186,4.122300820298016,-0.30004833769352557,1.4131377320363294,-0.7323902141653091,-8.4291061493548,-9.279741318801175,-7.0259099863312535,-0.18293397492182317,0.5270407902427361,0.05828728170438506,0.5264080501091489,0.5343089169890773,0.4361941549524847,0.7874363981597658,-0.3064957445893861,0.20506154501617638,-0.49391703772734047
1.3,0.007171344554383482,0.3341822278022816,0.9424810387245356,-1.402551693192725,-1.8872860916396772,4.122453390784976,-0.3000251796453915,1.412965009532692,-0.7323461712125681,-8.235021101225913,-9.004300255972467,-7.199724381737791,-0.12902439269626656,0.5107599254880699,0.03623344060001911,0.526220876570658,0.5340948942302892,0.43623340560124463,0.787460934132355,-0.3064941752277857,0.20507295369131456,-0.49387415545982816
1.4000000000000001,0.007335974235160116,0.33008517706122015,0.9439119709565237,-1.403803825378418,-1.8860137914586492,4.12260103225708,-0.29998572290454106,1.4128768432131071,-0.7322705403892478,-8.535012491202233,-9.107702943754894,-7.264956222521987,-0.1397368529989903,0.5305846474177602,0.05071065527085877,0.5257672750777034,0.5336515124444021,0.43648079375497617,0.7874354924489864,-0.30646855533846024,0.2050648335875851,-0.49393398733644084
1.5,0.007504741540226598,0.3259081219368679,0.9453700818543451,-1.4049997569826957,-1.884797389515285,4.122746824891958,-0.2999169148067226,1.4127528433859773,-0.7322443167315882,-8.548004720386345,-9.043460001721348,-6.737335904666545,-0.15683014535737727,0.5473412410550061,0.06109900802748307,0.5254990309771947,0.533359782136059,0.43670399476390387,0.7873903614711456,-0.3064665467031847,0.20507981505466297,-0.4940009553344087
1.6,0.007559992100392132,0.3248228204688149,0.9457438960303663,-1.4062730606101834,-1.8837449438385871,4.122878334990864,-0.2999228666129531,1.4126091215221555,-0.7321599165545862,-8.6026312393484,-9.608292565415704,-6.701654366040121,-0.16878053235708487,0.5807356347478014,0.06415068881439494,0.525095835998796,0.5329671475224677,0.436708951392352,0.7874568024902346,-0.3064715554892541,0.2050591368470936,-0.49390051658545303
1.7000000000000002,0.007605652843772909,0.32399870823001065,0.946026109562699,-1.4075491177861483,-1.8825519520326266,4.123058307529623,-0.29988739932852326,1.412468433380127,-0.732086436071509,-8.66684372219105,-9.63973261772709,-6.55429933054228,-0.1910721673183754,0.5815818764071148,0.06657530806987157,0.5249000449481749,0.532768752840795,0.43671024774138945,0.7874921982498696,-0.3064825415264194,0.20504371006571198,-0.4938436659486312
1.8,0.007651313587153687,0.32317459599120635,0.9463083230950314,-1.4087067481100115,-1.88115922054871,4.123187458890721,-0.2998417180827637,1.4123265452465996,-0.7320185484559365,-8.70535563525723,-9.63976682161173,-6.418556777186535,-0.20087936579112994,0.5838353393019106,0.06213921169893917,0.52444031602137,0.5322276148996152,0.43711707633024505,0.7874068386509498,-0.3064731825961092,0.20508734364458803,-0.49396744859548736
1.9000000000000001,0.007681699327077381,0.3218736864486547,0.9467508759857108,-1.4099241142029764,-1.8799468624496336,4.12335495930829,-0.2997945112041016,1.4121813373129046,-0.732002625993935,-8.63596353130263,-9.924234816811662,-6.409151300572811,-0.2089486292166181,0.5975893572133127,0.057997905943599354,0.5242197575034016,0.5319852930693697,0.43724727016136883,0.7873875140341545,-0.30647104650304735,0.20510298972361227,-0.49399308092814087
